"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"179",2,1,"Entire home/apt",30,16,0.37,0.534246575342466
"180",3,1,"Entire home/apt",1,0,0,0
"181",3,1,"Private room",4,2,0.06,0
"182",2,1,"Entire home/apt",1,7,0.2,0
"183",3,1,"Entire home/apt",7,0,0,0
"184",3,1,"Entire home/apt",198,163,2.96,0
"185",3,1,"Private room",3,0,0,0
"186",3,1,"Entire home/apt",14,1,0.04,0.8
"187",3,1,"Entire home/apt",2,5,0.09,0
"188",3,1,"Private room",1,0,0,0
"189",2,1,"Private room",6,0,0,0
"190",3,1,"Entire home/apt",4,10,0.19,0
"191",3,1,"Shared room",1,0,0,0
"192",3,1,"Entire home/apt",8,9,0.18,0.304109589041096
"193",3,1,"Private room",1,10,0.26,0.997260273972603
"194",3,1,"Private room",365,7,0.14,0.923287671232877
"195",2,1,"Private room",1,0,0,0
"196",3,1,"Private room",1,1,0.02,0
"197",3,1,"Entire home/apt",7,0,0,0
"198",3,1,"Entire home/apt",30,7,0.14,0.183561643835616
"199",2,1,"Entire home/apt",2,2,0.07,0
"200",3,1,"Entire home/apt",7,15,0.29,0.123287671232877
"201",3,1,"Entire home/apt",4,38,0.74,0.608219178082192
"202",2,1,"Entire home/apt",2,34,0.69,0.934246575342466
"203",3,1,"Private room",1,0,0,0
"204",3,1,"Entire home/apt",7,0,0,0
"205",3,1,"Private room",3,2,0.04,0
"206",3,1,"Entire home/apt",4,6,0.13,0.750684931506849
"207",4,1,"Entire home/apt",7,2,0.04,0
"208",3,1,"Entire home/apt",1,0,0,0
"209",3,1,"Entire home/apt",4,46,1.15,0.0246575342465753
"210",3,1,"Shared room",1,0,0,0
"211",3,1,"Entire home/apt",4,8,0.16,0
"212",3,1,"Entire home/apt",6,0,0,0
"213",3,1,"Entire home/apt",1,38,0.89,0.986301369863014
"214",3,1,"Entire home/apt",1,0,0,0
"215",2,1,"Entire home/apt",2,176,3.51,0.753424657534247
"216",3,1,"Entire home/apt",3,116,2.36,0.676712328767123
"217",3,1,"Entire home/apt",1,0,0,0
"218",3,1,"Entire home/apt",1,0,0,0.997260273972603
"219",3,1,"Entire home/apt",14,0,0,0
"220",3,1,"Private room",2,126,2.65,0.473972602739726
"221",3,1,"Entire home/apt",30,27,0.57,0.997260273972603
"222",3,1,"Entire home/apt",7,2,0.04,0
"223",2,1,"Entire home/apt",3,5,0.1,0
"224",4,1,"Entire home/apt",1,145,3.55,0.0904109589041096
